,sp_primary
1794,P04406
1795,Q15118
1796,O15537
1797,Q9H5X1
1798,Q6PI48
1799,Q9BVN2
1800,Q9BWU0
1801,Q6IQ20
1802,O94953
1803,P07911
1804,Q5VVY1
1805,Q00653
1806,P05187
1807,P06732
1808,Q01518
1809,P51659
1810,P16333
1811,Q9H867
1812,Q15758
1813,O00213
1814,P02786
1815,P07098
1816,P05452
1817,P11274
1818,P49023
1819,P50225
1820,P42858
1821,Q9Y4E8
1822,Q9BUZ4
1823,P50549
1824,Q15466
1825,Q13131
1826,Q9BQ15
1827,P27797
1828,P04637
1829,Q96CD2
1830,Q13191
1831,Q96D96
1832,P53370
1833,P17050
1834,O75717
1835,P05230
1836,P17342
1837,P09871
1838,P04183
1839,P49959
1840,Q9H0H5
1841,P21580
1842,Q9Y2G5
1843,P28676
1844,P29474
1845,Q6PIK1
1846,Q01344
1847,Q99497
1848,P07900
1849,O95994
1850,P83110
1851,P51649
1852,Q99963
1853,P37268
1854,Q9BUH6
1855,Q9UBZ9
1856,O15031
1857,Q96NY8
1858,P20592
1859,O43776
1860,O15111
1861,O43424
1862,Q9BRQ3
1863,Q9BXF3
1864,P78356
1865,P62491
1866,Q9NR31
1867,Q53GL7
1868,O76064
1869,P35221
1870,Q9UKU7
1871,O43293
1872,Q9BUT1
1873,P19801
1874,Q13490
1875,Q9HCJ6
1876,Q5VVQ6
1877,P0CG29
1878,P23246
1879,P41180
1880,P35637
1881,P07327
1882,O14641
1883,P54132
1884,P13500
1885,P13501
1886,P80075
1887,P12318
1888,Q14565
1889,Q13303
1890,P49419
1891,P29034
1892,Q13555
1893,Q86X55
1894,P12277
1895,Q9NQW7
1896,Q9UQR0
1897,O75116
1898,P01138
1899,Q06481
1900,P60953
1901,Q9NPB1
1902,P51795
1903,P61073
1904,Q9P107
1905,Q16637
1906,Q99661
1907,P07902
1908,Q92830
1909,O14618
1910,P14780
1911,P00326
1912,P16144
1913,P42658
1914,P23415
1915,Q13557
1916,Q9UQM7
1917,Q9NZZ3
1918,Q9BYP7
1919,Q6P2H3
1920,P31371
1921,P05362
1922,P08238
1923,Q9P2T1
1924,Q96Q83
1925,P49915
1926,P41587
1927,Q9NXV2
1928,P17735
1929,P51452
1930,Q8TEB7
1931,Q9NYG8
1932,Q15389
1933,Q9Y5W9
1934,Q14444
1935,Q9Y2W6
1936,P09211
1937,P13726
1938,P08294
1939,P27815
1940,Q495A1
1941,P10720
1942,D9IWL3
1943,Q8IWT1
1944,P30793
1945,O00299
1946,Q8NBJ7
1947,Q04609
1948,P41250
1949,Q9Y223
1950,O15151
1951,Q53FT3
1952,Q9UIF9
1953,O75208
1954,Q6PHW0
1955,P35354
1956,Q14315
1957,Q92506
1958,P08228
1959,Q6NT76
1960,Q04759
1961,P01594
1962,P06312
1963,Q9UL18
1964,Q92947
1965,Q12884
1966,Q96C10
1967,Q99685
1968,Q9H8M5
1969,Q9BWF2
1970,Q9UQF0
1971,P08631
1972,P22670
1973,P13716
1974,Q03181
1975,P07195
1976,P25024
1977,P62508
1978,P01040
1979,P14091
1980,Q12983
1981,Q9H9Q4
1982,Q8IVH4
1983,O75762
1984,Q96HS1
1985,Q7Z4V5
1986,P01859
1987,Q00613
1988,P62987
1989,Q86XK2
1990,Q8IVU3
1991,Q13485
1992,Q9NR28
1993,P35240
1994,P05162
1995,Q16775
1996,Q8IUQ4
1997,Q5NV88
1998,Q14831
1999,Q8WTU0
2000,Q13509
2001,Q9NQX3
2002,Q08188
2003,P07686
2004,Q9NPZ5
2005,Q8WYN0
2006,Q03001
2007,Q5VW32
2008,O95571
2009,Q9GZQ8
2010,P19438
2011,P09488
2012,P53674
2013,O43617
2014,Q13838
2015,P50552
2016,Q9UIK4
2017,Q96EK6
2018,P63000
2019,P31350
2020,Q68J44
2021,Q9Y3C4
2022,Q96I15
2023,Q99538
2024,Q15027
2025,P38507
2026,Q13315
2027,Q96I51
2028,Q09028
2029,P04040
2030,O15263
2031,P55210
2032,P06132
2033,Q9H2X3
2034,Q9Y617
2035,P45984
2036,Q14416
2037,Q66GS9
2038,Q9Y4P1
2039,P12004
2040,Q15596
2041,Q9NP99
2042,Q9UQB8
2043,Q96RU3
2044,Q96PU5
2045,P16219
2046,Q7Z4H3
2047,Q08881
2048,P36888
2049,P16152
2050,Q9Y5G1
2051,P02741
2052,Q16772
2053,Q04917
2054,P47989
2055,Q9NRG1
2056,P78324
2057,P83916
2058,Q16666
2059,Q16181
2060,Q8WWA0
2061,Q9UI95
2062,P11586
2063,P51570
2064,Q9UBU8
2065,P45381
2066,P12955
2067,O00291
2068,P13848
2069,B4DJV2
2070,P09914
2071,Q8TDD5
2072,P10515
2073,Q6V1X1
2074,P38936
2075,P20783
2076,P02776
2077,Q05315
2078,P09601
2079,Q13232
2080,P04792
2081,P48740
2082,P10768
2083,Q96PY6
2084,Q5VV17
2085,Q9UHP7
2086,P04264
2087,Q13409
2088,O94766
2089,Q8TBX8
2090,Q16719
2091,O14958
2092,Q15059
2093,O75044
2094,Q9UBB5
2095,P29323
2096,P63167
2097,Q99757
2098,Q16827
2099,P10109
2100,Q09472
2101,P00797
2102,P31431
2103,P35270
2104,P49758
2105,P04080
2106,O14994
2107,Q9UJM8
2108,Q9H3S7
2109,Q7Z3B4
2110,Q15822
2111,Q14103
2112,Q8TEK3
2113,P06396
2114,P05062
2115,P36507
2116,P07203
2117,P35968
2118,P52789
2119,Q8TCS8
2120,P03367
2121,O43435
2122,P01861
2123,P28222
2124,A6NCL1
2125,Q8N8S7
2126,P14061
2127,Q9Y468
2128,P53355
2129,Q92843
2130,Q13263
2131,O15519
2132,P00390
2133,P61626
2134,P0A720
2135,Q9BPX1
2136,Q96DU3
2137,P04049
2138,P13647
2139,P16284
2140,O43255
2141,P45599
2142,Q9UNQ0
2143,Q05086
2144,P04083
2145,P02792
2146,Q9NPC7
2147,Q08AH3
2148,Q9Y4K3
2149,Q13185
2150,P10114
2151,Q03591
2152,Q14145
2153,Q13363
2154,O95069
2155,Q14126
2156,Q969G2
2157,P23435
2158,Q96T88
2159,O60603
2160,Q8NBZ7
2161,P19623
2162,Q13115
2163,Q9H6X2
2164,Q13158
2165,Q86SE8
2166,Q01974
2167,Q96KP4
2168,Q7Z6Z7
2169,P12643
2170,P68431
2171,Q8IX04
2172,Q16611
2173,O15021
2174,P49916
2175,O00214
2176,O60565
2177,P32526
2178,Q9NZC2
2179,Q93008
2180,P01721
2181,P04141
2182,P05109
2183,P46109
2184,Q9Y657
2185,P01308
2186,P49137
2187,Q01082
2188,Q9BXH1
2189,P49841
2190,P09603
2191,P09110
2192,P31949
2193,O14920
2194,P51688
2195,O14770
2196,P52907
2197,P14324
2198,Q7L804
2199,O75223
2200,Q16627
2201,Q8WUP2
2202,P09913
2203,P01116
2204,P00505
2205,Q71U36
2206,P35590
2207,P01574
2208,Q99683
2209,O00602
2210,Q7Z434
2211,O00268
2212,Q08209
2213,Q8WV92
2214,Q9Y2H9
2215,Q12756
2216,P48730
2217,Q4G0J3
2218,P08254
2219,Q05516
2220,P29373
2221,Q05193
2222,O96017
2223,P10635
2224,Q13011
2225,O60894
2226,P29375
2227,P04632
2228,P00323
2229,P53041
2230,Q9HAB8
2231,Q16659
2232,Q9NXA8
2233,Q8IWB6
2234,Q9Y4I1
2235,P23458
2236,Q86XR8
2237,P0CG30
2238,P26447
2239,O00560
2240,Q92583
2241,P12544
2242,P30041
2243,P04626
2244,Q8WV41
2245,Q92890
2246,O14974
2247,P13995
2248,P01709
2249,P22415
2250,P03069
2251,P14921
2252,P22830
2253,P61011
2254,Q9P2W7
2255,Q16773
2256,Q8IUH5
2257,O75376
2258,P0ABE7
2259,Q8TBC4
2260,P15309
2261,P23582
2262,P80098
2263,Q9Y618
2264,P13674
2265,P13598
2266,P26010
2267,P43403
2268,P20936
2269,Q01469
2270,O14646
2271,Q09666
2272,Q9BPZ2
2273,Q9H8S9
2274,P06213
2275,O00187
2276,O75956
2277,Q8IZ41
2278,Q13162
2279,Q14896
2280,O15394
2281,Q02153
2282,Q9NW38
2283,Q13085
2284,Q9UBW5
2285,Q03013
2286,P32297
2287,Q15020
2288,P49588
2289,P00751
2290,P55055
2291,Q9BY41
2292,P31947
2293,Q6ZYL4
2294,P31153
2295,Q709F0
2296,Q14191
2297,Q13563
2298,Q8TCU6
2299,Q6DN90
2300,P28574
2301,Q8NFH5
2302,Q6PL18
2303,Q92878
2304,P10275
2305,P09493
2306,P19474
2307,P21673
2308,Q9BY32
2309,P21860
2310,O15455
2311,Q8TEA8
2312,P06748
2313,P06733
2314,P70280
2315,O60602
2316,O60507
2317,P09651
2318,P08253
2319,P37837
2320,O14492
2321,Q09013
2322,Q86VU5
2323,P61769
2324,Q6IMI6
2325,Q969R5
2326,Q9UNL4
2327,Q9NZJ9
2328,Q99988
2329,Q4G0W2
2330,P18075
2331,Q04724
2332,P21549
2333,P61020
2334,O15553
2335,P08922
